TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
大阪,17,木下 博之,PG,50,33,1088:24:00,21:46,331,6.6,117,279,41.90%,55,129,42.60%,42,54,77.80%,28,83,111,2.2,208,4.2,80,47,1,7,99,94,9
川崎,33,長谷川 技,SG/SF,57,57,1402:28:00,24:36:00,329,5.8,115,281,40.90%,65,162,40.10%,34,42,81.00%,20,81,101,1.8,136,2.4,32,53,6,7,79,53,7
栃木,0,田臥 勇太,PG,60,60,1073:30:00,17:53,323,5.4,132,277,47.70%,3,22,13.60%,56,65,86.20%,30,71,101,1.7,159,2.7,47,50,1,10,81,96,7
A東京,10,ザック・バランスキー,SF/PF,57,8,1066:29:00,18:42,323,5.7,121,301,40.20%,54,137,39.40%,27,38,71.10%,39,100,139,2.4,69,1.2,33,49,4,13,103,38,6
京都,7,晴山 ケビン,SF,59,44,1033:26:00,17:30,322,5.5,111,277,40.10%,57,149,38.30%,43,58,74.10%,35,112,147,2.5,26,0.4,31,23,5,7,90,50,5
名古屋D,6,船生 誠也,SF,59,44,1262:10:00,21:23,319,5.4,118,225,52.40%,29,72,40.30%,54,82,65.90%,33,78,111,1.9,93,1.6,65,51,8,15,103,87,6
栃木,18,鵤 誠司,PG,59,15,1137:46:00,19:17,308,5.2,128,326,39.30%,19,80,23.80%,33,49,67.30%,27,85,112,1.9,105,1.8,71,56,8,17,89,55,5
島根,7,渡邊 翔太,PG,42,36,1076:40:00,25:38:00,293,7,113,296,38.20%,27,90,30.00%,40,53,75.50%,16,71,87,2.1,149,3.5,77,21,4,16,102,67,7
三河,12,西川 貴之,SF,59,20,959:30:00,16:15,291,4.9,105,260,40.40%,41,115,35.70%,40,48,83.30%,8,55,63,1.1,64,1.1,45,19,13,7,65,59,4
栃木,46,生原 秀将,PG,57,0,1005:40:00,17:38,291,5.1,107,274,39.10%,32,96,33.30%,45,55,81.80%,24,48,72,1.3,63,1.1,36,30,5,9,115,59,4
島根,30,ジーノ・ポマーレ,PF/C,26,13,652:12:00,25:05:00,291,11.2,122,249,49.00%,1,6,16.70%,46,68,67.60%,50,125,175,6.7,46,1.8,54,22,24,12,75,46,14
新潟,15,オースティン・ダフォー,PF,59,5,696:06:00,11:47,289,4.9,119,279,42.70%,7,27,25.90%,44,59,74.60%,46,113,159,2.7,24,0.4,28,17,12,20,108,55,5
大阪,15,根来 新之助,SF/PF,60,30,1158:29:00,19:18,285,4.8,93,274,33.90%,45,139,32.40%,54,74,73.00%,59,127,186,3.1,101,1.7,74,32,8,13,151,97,6
SR渋谷,24,広瀬 健太,SF,44,28,956:49:00,21:44,282,6.4,100,258,38.80%,30,100,30.00%,52,84,61.90%,42,92,134,3,80,1.8,68,57,12,19,85,84,7
新潟,11,鵜澤 潤,PF,57,23,875:38:00,15:21,279,4.9,102,241,42.30%,39,97,40.20%,36,41,87.80%,44,82,126,2.2,17,0.3,23,8,5,19,102,53,5
SR渋谷,32,山内 盛久,PG/SG,60,26,1225:48:00,20:25,278,4.6,110,285,38.60%,36,100,36.00%,22,35,62.90%,35,66,101,1.7,200,3.3,74,51,2,13,86,55,6
琉球,13,津山 尚大,PG/SG,53,12,765:06:00,14:26,271,5.1,91,257,35.40%,54,157,34.40%,35,46,76.10%,9,42,51,1,67,1.3,48,25,4,7,50,49,4
三河,16,松井 啓十郎,SG,55,6,701:55:00,12:45,269,4.9,99,225,44.00%,50,124,40.30%,21,31,67.70%,6,42,48,0.9,51,0.9,25,20,0,9,38,21,4
北海道,12,ディジョン・トンプソン,SF/PF,21,2,415:54:00,19:48,267,12.7,102,196,52.00%,14,48,29.20%,49,72,68.10%,34,100,134,6.4,57,2.7,35,41,3,6,53,72,17
西宮,30,岡田 優,SG,28,15,652:13:00,23:17,264,9.4,102,262,38.90%,24,82,29.30%,36,50,72.00%,12,32,44,1.6,55,2,40,27,2,15,44,46,6
新潟,32,池田 雄一,SF,60,12,1151:22:00,19:11,257,4.3,78,204,38.20%,66,176,37.50%,35,40,87.50%,13,116,129,2.2,28,0.5,23,26,2,2,107,59,5
新潟,30,今村 佳太,SG/SF,42,34,859:44:00,20:28,252,6,94,235,40.00%,49,130,37.70%,15,20,75.00%,20,103,123,2.9,30,0.7,25,24,7,6,52,21,6
